product_id,store_id,aisle_id,name,price,order
104,1,4,Black Tea (20-pack),3.99,7
105,1,4,Herbal Tea (20-pack),4.49,8
106,1,4,Ground Coffee (12 oz),7.99,9
107,1,4,Whole Bean Coffee (12 oz),9.99,9
108,1,4,Instant Coffee,5.49,10
109,1,4,Coffee Pods (12-pack),8.99,10
110,1,4,Hot Chocolate Mix,3.99,11
111,1,4,Almond Milk (64 oz),3.49,12
112,1,4,Oat Milk (64 oz),4.29,12
113,1,4,Soy Milk (64 oz),3.29,13
114,1,4,Coconut Water,2.49,13
115,1,4,Sports Drink (8-pack),6.99,14
116,1,4,Energy Drink (4-pack),7.49,14
117,1,4,Tomato Juice (46 oz),3.49,15
118,1,4,Vegetable Juice (46 oz),3.99,15
119,1,4,Kombucha,3.49,16
120,1,4,Protein Shake (4-pack),7.99,16
121,1,5,Whole Milk (1 gal),3.99,1
122,1,5,2% Milk (1 gal),3.89,1
123,1,5,Skim Milk (1 gal),3.79,2
124,1,5,Heavy Cream (16 oz),3.49,3
125,1,5,Half and Half (32 oz),3.29,3
126,1,5,Unsalted Butter,4.49,4
127,1,5,Salted Butter,4.49,4
128,1,5,Cream Cheese (8 oz),2.49,5
129,1,5,Cheddar Cheese (8 oz),3.99,6
130,1,5,Mozzarella Cheese (8 oz),3.79,6
131,1,5,Swiss Cheese (8 oz),4.29,7
132,1,5,Grated Parmesan Cheese,4.99,7
133,1,5,Vanilla Yogurt (32 oz),4.49,8
134,1,5,"Greek Yogurt (Plain, 32 oz)",5.49,8
135,1,5,Sour Cream (16 oz),2.49,9
136,1,5,Cottage Cheese (16 oz),3.29,9
137,1,5,Eggs (12-pack),3.49,10
138,1,5,Egg Whites (32 oz),4.99,10
139,1,5,Vanilla Ice Cream (48 oz),4.99,11
140,1,5,Chocolate Ice Cream (48 oz),4.99,11
141,1,5,Frozen Pizza (Cheese),5.49,12
142,1,5,Frozen Pizza (Pepperoni),5.99,12
143,1,5,Frozen Mixed Vegetables,2.49,13
144,1,5,Frozen Broccoli,2.29,13
145,1,5,Frozen Corn,2.29,14
146,1,5,Frozen French Fries,3.49,14
147,1,5,Frozen Chicken Nuggets,6.49,15
148,1,5,Frozen Fish Fillets,7.49,15
149,1,5,Frozen Burritos (8-pack),5.99,16
150,1,5,Frozen Waffles (10-pack),3.49,16
